location_street_address,location_specifier,location_postcode,area_living,floor_number
Vanamontie 4,E 97,01350,95.00,2
Talttakuja 9,B 5,01650,87.10,1
Kivihaantie 5,E 70,00310,29.00,4
Neitsytpolku 9,F 108,00140,107.00,4
Pelimannintie 3,D 59,00420,69.00,3
Rosendalinrinki 3,B 51,01520,87.50,5
Tegelhagen 5,A 5,02780,126.00,1
Satamakatu 11,A 8,00160,45.50,2
Juustenintie 4,A 10,00410,56.50,3
Nordenskiöldinkatu 9,B 61,00250,65.50,7
Haapaniemenkatu 16,A 5,00530,52.50,1
Visakoivunkuja 19,A 9,02130,68.50,3
Kuulakuja 3,B 36,01280,76.00,4
Simonkyläntie 11,D 41,01390,70.50,1
Kalevankatu 45,D 31,00180,20.50,1
Silkinkutojankuja 3,B 7,00950,92.30,1
Mechelininkatu 27,B 25,00100,108.00,5
Suopellonkaari 61,B 14,00630,45.50,2
Ruorimiehenkatu 4,C 35,02320,53.50,2
Aleksis Kiven katu 33,A 10,00520,70.50,3
Kaviokuja 7,B 53,01200,48.50,3
Nokitontunkuja 1,E 37,02200,88.00,1
Perustie 15,A 7,00330,52.00,2
Kaunispääntie 3,H 55,00970,55.00,1
Vihdintie 6,A 2,00350,43.00,1
Ojatie 2,D,01670,81.00,1
Niittykatu 1,A 11,02200,50.50,3
Lounaisväylä 3,B 7,00200,46.50,1
Valssimyllynkatu 6,C 10,00920,72.50,1
Kotkatie 9,C 54,02620,73.50,3
Humalniementie 22,A 3,00840,122.00,1
Tehtaankatu 3,B 13,00140,51.00,3
Pengerkatu 22,C 53,00500,23.00,2
Maratonkuja 1,F 22,01280,79.50,1
Gunillantie 17,A 24,00870,68.00,4
Ulrikankuja 6,A 38,01400,56.50,3
Siltasaarenkatu 26,C 81,00530,28.00,2
Tehtaankatu 9,C 45,00140,77.00,6
Lapinlahdenkatu 8,C 69,00180,53.00,5
Kallioimarteentie 15,A 25,01350,55.00,5
Punakiventie 3,B 69,00980,37.50,7
Humalistonkatu 17,A 6,00250,98.00,2
Alvar Aallon katu 3,B 8,00100,49.00,3
Pastori Jussilaisen tie 6,B 19,00400,48.00,4
Viestitie 14,as. 4,01280,38.00,1
Korvatunturintie 1,F 79,00970,75.00,2
Kaivokselantie 6,A 1,01610,39.00,1
Merikorttitie 4,A 590,00960,50.80,3
Wecksellintie 6,A 14,00150,19.00,3
Hiekkaharjuntie 7,A 1,01300,48.00,1
Tietäjäntie 3,A 20,02130,49.00,2
Kivelänkatu 3,A 11,00260,37.00,3
Pajalahdentie 23,A 9,00200,98.50,3
Pohjoisranta 20b,A 18,00170,98.50,7
Hattelmalantie 5-7,C 63,00710,59.50,5
Salpausseläntie 4-8,F 46,00710,59.50,1
Ruotutie 3,as. 4,02610,130.00,1
Nelikkokuja 12,A 10,02230,52.00,2
Laajasuontie 26,B 11,00320,25.50,1
Teollisuuskatu 24,B 33,00520,77.00,3
Seilimäki 20,I 28,02180,99.50,1
Haapasaarentie 2,C 11,00980,53.50,3
Pakkalanrinne 3,B 20,01510,49.00,2
Tyrskyvuori 11,C 28,02320,33.50,1
Leilankuja 2,A 9,02230,61.50,3
Hirvitie 2,A 8,00800,53.00,2
Välimetsäntie 9,C 18,00620,79.50,1
Hämeentie 21,B 37,00500,30.00,3
Säteritilankatu 2,A 19,01520,80.50,6
Laivanvarustajankatu 8a,A 8,00140,52.00,2
otavatie 8,A 10,00200,82.00,4
Artturi Kanniston tie 7,B 20,00320,65.00,2
Henrikintie 5,C 18,00370,62.00,1
Helmiäispolku 5,A 5,00530,59.50,3
Kaustisenpolku 1,B 27,00420,71.50,3
Hämeentie 1,C 20,00530,81.00,3
Päivärinnankatu 3,B 33,00250,131.00,3
Ketokiventie 2,A 3,00710,100.00,1
Pasuunatie 2b,A 13,00420,61.50,5
Heino Kasken katu 9,C 25,00180,57.50,3
Wecksellintie 8,A 6,00150,114.00,3
Venemestarintie 4,C 14,00980,92.00,2
Merikasarminkatu 7,D 36,00160,61.00,4
